id,length,PKW_allowed
E115_0,18.19,yes
E117_0,508.3,yes
E26_0,41.25,yes
E31_0,76.58,yes
E32_0,89.09,yes
E33_0,115.61,yes
E34_1,63.95,yes
E35_1,87.75,yes
E37_1,99.47,yes
E38_0,150.26,yes
E39_0,110.42,yes
E46_1,100.55,yes
E48_1,67.97,yes
E49_0,89.13,yes
E50_0,85.41,yes
E57_1,125.03,yes
E59_0,105.34,yes
E60_0,102.81,yes
E60.102_0,29.43,yes
E600_0,37.77,yes
E62_1,33.27,yes
E63_1,48.59,yes
E64_0,141.57,yes
E65_1,178.76,yes
E66_1,144.55,yes
E67_0,72.18,yes
E68_0,63.51,yes
E82_0,49.61,yes
E88_0,50.94,yes
E90_0,63.3,yes
E94_0,29.36,yes
E97_0,52.6,yes
-10414497#1_0,85.9,no
-10414497#2_0,43.24,no
-10418400#3_0,84.53,no
-1042405420#1_0,263.72,no
-10594647#3_0,61.31,no
-1163529329_0,15.36,no
-1163544455#1_0,151.87,no
-1163569502#1_0,64.1,no
-11667106#1_0,114.49,no
-11667106#4_0,70.64,no
-11667106#6_0,56.99,no
-11916106#1_0,98.89,no
-11918011_0,70.49,no
-12618874#0_0,111.16,no
-12618874#5_0,116.61,no
-136617339#1_0,41.99,no
-138424035#0_0,252.29,no
-141885659#0_0,71.26,no
-141887992#2_0,70.79,no
-14388986#2_0,29.14,no
-14389891#3_0,116.04,no
-14389891#5_0,94.83,no
-145204590#1_0,31.42,no
-145204590#6_0,221.22,no
-146778063#0_0,112.97,no
-146778067#1_0,136.84,no
-147633771#0_0,31.94,no
-150995095#3_0,91.32,no
-150995110#2_0,84.28,no
-150995116#3_0,96.78,no
-150996033_0,17.22,no
-15801838#0_0,36.81,no
-172222117#1_0,95.07,no
-188708009_0,107.31,no
-188708010#1_0,77.13,no
-188867142#1_0,96.13,no
-190714064#0_0,121.98,no
-20020535#0_0,161.46,no
-20020535#0.160_0,171.22,no
-218294235#1_0,43.93,no
-27014785#0_0,68.22,no
-27361348#1_0,136.92,no
-27410107#1_0,127.2,no
-291221104#1_0,56.57,no
-30748799_0,137.03,no
-331553004#1_0,42.9,no
-332455382#0.94_0,57.6,no
-332455398#1.16_0,84.84,no
-332455405#1_0,79.71,no
-334810149#0_0,17.47,no
-334810149#1_0,94.94,no
-33693780#0_0,81.52,no
-33693780#2_0,21.79,no
-33693780#4_0,47.78,no
-33693799#0_0,88.01,no
-33695352#3_0,69.29,no
-35162767#0_0,38.34,no
-35162767#2_0,84.32,no
-35162769#2_0,119.78,no
-361876821_0,93.49,no
-374407128_0,76.45,no
-381201436#1_0,92.24,no
-381223036#1_0,168.89,no
-398028001#4_0,172.52,no
-398028002#1_0,77.16,no
-423368254#1_0,82.06,no
-43068084#1_0,107.16,no
-43586070#2_0,75.38,no
-4398888#1_0,81.12,no
-4398951#1_0,40.88,no
-4498175#3_0,104.74,no
-46656282#1_0,62.53,no
-4727535_0,19.98,no
-4727535_2,19.98,no
-4730406#0_0,79.47,no
-4730406#0.80_0,81.5,no
-4730408#2_0,263.64,no
-4730409#0_0,257.57,no
-4730416#1_0,40.69,no
-4803560#4_0,60.79,no
-48777366#0_0,61.82,no
-4950245#0_0,164.15,no
-50003684#1_0,120.67,no
-5198100#0_0,82.71,no
-525958045#3_0,189.06,no
-527481483#0_0,76.65,no
-532158277#2_0,86.89,no
-532158278#2_0,72.95,no
-536908734#2_0,78.96,no
-543129612#1_0,117.81,no
-543129619#2_0,67.21,no
-543698043#1_0,69,no
-543888804#0_0,26.87,no
-543888805_0,100.13,no
-544152723_0,128.58,no
-544152723.124_0,98.05,no
-548370028_0,29.74,no
-548370029_0,55.21,no
-548370030#0_0,38.68,no
-548370031#1_0,31.12,no
-548370032_0,16.96,no
-548370033#1_0,72.86,no
-548370035#0_0,47.48,no
-548370037#0_0,50.17,no
-549356141#0_0,16.48,no
-549356141#1_0,13.22,no
